"Rider","Pos","Country","Team","Stage","Start_Location","End_Location","Stage_Type","Stage_Distance","Time_total","Velocity_kmh","Velocity_mph","Classification"
"Daniel Felipe Martinez Poveda",36,"Colombia","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Clement Russo",37,"France","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Amund Grondahl Jansen",38,"Norway","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Primoz Roglic",39,"Slovenia","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Ryan GIBBONS",40,"South Africa","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Sepp KUSS",41,"United States","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Marco Marcato",42,"Italy","UAE TEAM EMIRATES","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tom Dumoulin",43,"Netherlands","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Richard CARAPAZ",44,"Ecuador","INEOS GRENADIERS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Egan Bernal Gomez",45,"Colombia","INEOS GRENADIERS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Esteban CHAVES RUBIO",46,"Colombia","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jens Debusschere",47,"Belgium","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Daniel Oss",48,"Italy","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jasper De Buyst",49,"Belgium","LOTTO SOUDAL","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Roger Kluge",50,"Germany","LOTTO SOUDAL","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Christopher Juul Jensen",51,"Denmark","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tony Martin",52,"Germany","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Kasper Asgreen",53,"Denmark","DECEUNINCK - QUICK - STEP","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Cyril BARTHE",54,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Fabien Grellier",55,"France","TOTAL DIRECT ENERGIE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Kevin Reza",56,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Mikael Cherel",57,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tom VAN ASBROECK",58,"Belgium","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Dayer QUINTANA",59,"Colombia","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nairo Quintana",60,"Colombia","TEAM ARKEA - SAMSIC","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Fabio Aru",61,"Italy","UAE TEAM EMIRATES","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Maxime CHEVALIER",62,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Gregor Muhlberger",63,"Austria","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tiesj Benoot",64,"Belgium","TEAM SUNWEB","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Felix GROSSSCHARTNER",65,"Austria","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Emanuel Buchmann",66,"Germany","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Simon Geschke",67,"Germany","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Greg Van Avermaet",68,"Belgium","CCC TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Robert Gesink",69,"Netherlands","TEAM JUMBO - VISMA","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Hugo HOFSTETTER",70,"France","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Tejay Van Garderen",71,"United States","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Jens Keukeleire",72,"Belgium","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Quentin PACHER",73,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Pierre luc Perichon",74,"France","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Guillaume Martin",75,"France","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Michal Kwiatkowski",76,"Poland","INEOS GRENADIERS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Geoffrey Soupe",77,"France","TOTAL DIRECT ENERGIE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nelson Oliveira",78,"Portugal","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"David de la Cruz Melgarejo",79,"Spain","UAE TEAM EMIRATES","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Enric Mas Nicolau",80,"Spain","MOVISTAR TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Alexis Vuillermoz",81,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Pierre Latour",82,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nans PETERS",83,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Romain Bardet",84,"France","AG2R LA MONDIALE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
